epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,44721,1.1842,0.79013,0.86701,0.61984,0.64957,0.67167,0.42529,1.26288,0.91849,0.89777,0.004258,0.004258,0.004258
60,45437.1,1.18439,0.79001,0.86634,0.61968,0.65088,0.6725,0.42636,1.26176,0.91764,0.89755,0.004159,0.004159,0.004159
61,46147.4,1.1825,0.78777,0.86585,0.61998,0.65165,0.67314,0.42711,1.26141,0.91677,0.89742,0.00406,0.00406,0.00406
62,46857,1.17985,0.78723,0.86593,0.62085,0.65284,0.67441,0.42839,1.26032,0.91569,0.89724,0.003961,0.003961,0.003961
63,47567.1,1.17885,0.78516,0.8658,0.62187,0.65406,0.67648,0.43049,1.2573,0.91403,0.89675,0.003862,0.003862,0.003862
64,48276.2,1.17482,0.78342,0.86544,0.62239,0.65352,0.67647,0.43055,1.25731,0.91357,0.89662,0.003763,0.003763,0.003763
65,48987.6,1.17573,0.78308,0.86545,0.62393,0.65318,0.67759,0.43173,1.25629,0.9124,0.89634,0.003664,0.003664,0.003664
66,49699.1,1.17602,0.78366,0.8652,0.62331,0.65402,0.67782,0.43215,1.25586,0.91196,0.89625,0.003565,0.003565,0.003565
67,50410.7,1.17363,0.78103,0.86476,0.62392,0.65352,0.67771,0.43214,1.25599,0.91188,0.8962,0.003466,0.003466,0.003466
68,51120,1.1734,0.78166,0.86458,0.62381,0.65409,0.67791,0.4323,1.25646,0.91165,0.89624,0.003367,0.003367,0.003367
69,51830.2,1.17107,0.78039,0.86486,0.62425,0.65374,0.67799,0.43185,1.25801,0.91161,0.89634,0.003268,0.003268,0.003268
70,52540.5,1.16911,0.77805,0.8644,0.6246,0.65428,0.67849,0.43265,1.25725,0.91093,0.89617,0.003169,0.003169,0.003169
71,53251,1.16883,0.77842,0.86437,0.62392,0.65485,0.67839,0.43285,1.25624,0.91049,0.89596,0.00307,0.00307,0.00307
72,53963.5,1.16414,0.77555,0.86348,0.62328,0.65531,0.67803,0.43271,1.25644,0.91081,0.89599,0.002971,0.002971,0.002971
73,54673.3,1.16347,0.77421,0.86346,0.62142,0.65585,0.67687,0.4323,1.25609,0.91155,0.89588,0.002872,0.002872,0.002872
74,55384.2,1.16209,0.77229,0.86333,0.62284,0.65483,0.67724,0.43319,1.25503,0.91162,0.89568,0.002773,0.002773,0.002773
75,56094.5,1.16184,0.77335,0.86292,0.62199,0.65518,0.67679,0.43314,1.25456,0.912,0.89551,0.002674,0.002674,0.002674
76,56809.3,1.16199,0.77185,0.86276,0.6218,0.65477,0.67628,0.43314,1.2545,0.91232,0.89545,0.002575,0.002575,0.002575
77,57517.8,1.15886,0.77021,0.86241,0.62043,0.65399,0.67486,0.43231,1.25469,0.91331,0.89538,0.002476,0.002476,0.002476
78,58230.5,1.15613,0.7687,0.86188,0.61887,0.65438,0.67405,0.43215,1.254,0.9134,0.89511,0.002377,0.002377,0.002377
79,58944.4,1.1555,0.76761,0.86199,0.61776,0.6545,0.67287,0.43187,1.25333,0.91414,0.89497,0.002278,0.002278,0.002278
80,59654.2,1.1529,0.76541,0.86137,0.61817,0.65491,0.67321,0.43283,1.25149,0.91338,0.89465,0.002179,0.002179,0.002179
81,60382.3,1.15082,0.76493,0.86111,0.61691,0.65481,0.67223,0.43251,1.25126,0.91397,0.89448,0.00208,0.00208,0.00208
82,61145.7,1.1515,0.76436,0.86101,0.61562,0.65595,0.67176,0.43254,1.25067,0.91446,0.89428,0.001981,0.001981,0.001981
83,61912,1.14853,0.76271,0.86075,0.61537,0.65506,0.67083,0.43265,1.24893,0.91473,0.89398,0.001882,0.001882,0.001882
84,62678.1,1.14598,0.76029,0.85983,0.61441,0.65504,0.67012,0.43261,1.24814,0.91496,0.89375,0.001783,0.001783,0.001783
85,63442.9,1.14473,0.75958,0.86043,0.61331,0.65526,0.66897,0.4322,1.24748,0.91517,0.89356,0.001684,0.001684,0.001684
86,64209.6,1.14392,0.75823,0.86008,0.61317,0.65553,0.66867,0.43255,1.24608,0.91438,0.89323,0.001585,0.001585,0.001585
87,64977.1,1.14018,0.75599,0.85948,0.61317,0.6556,0.66836,0.43295,1.24475,0.91409,0.89296,0.001486,0.001486,0.001486
88,65741.6,1.13839,0.75453,0.8595,0.61223,0.65551,0.66727,0.43271,1.24416,0.9144,0.89283,0.001387,0.001387,0.001387
89,66509.6,1.13933,0.75457,0.85923,0.6124,0.65615,0.66791,0.43329,1.24399,0.91393,0.89275,0.001288,0.001288,0.001288
90,67278.8,1.13502,0.75207,0.85855,0.61249,0.65599,0.66785,0.43363,1.24334,0.91388,0.89264,0.001189,0.001189,0.001189
91,67981.8,1.17984,0.77976,0.86864,0.61327,0.65651,0.66922,0.43465,1.24208,0.91209,0.89235,0.00109,0.00109,0.00109
92,68677.1,1.16166,0.76892,0.8668,0.61527,0.65826,0.67202,0.43703,1.23915,0.90945,0.89188,0.000991,0.000991,0.000991
93,69366.3,1.15569,0.76501,0.86545,0.61676,0.65908,0.67394,0.43872,1.23708,0.9075,0.89153,0.000892,0.000892,0.000892
94,70061.5,1.147,0.75951,0.86447,0.61779,0.65899,0.6748,0.43938,1.23645,0.90653,0.89138,0.000793,0.000793,0.000793
95,70756.8,1.14197,0.75653,0.86423,0.61825,0.65906,0.67532,0.44,1.23523,0.90562,0.89114,0.000694,0.000694,0.000694
96,71451.7,1.13643,0.75226,0.86291,0.61944,0.66023,0.67757,0.44194,1.23296,0.90377,0.89078,0.000595,0.000595,0.000595
97,72145,1.13156,0.74977,0.86218,0.62062,0.66014,0.67869,0.44313,1.2307,0.90266,0.89037,0.000496,0.000496,0.000496
98,72832.3,1.12614,0.74523,0.8615,0.62171,0.66013,0.67984,0.44408,1.22947,0.90188,0.89014,0.000397,0.000397,0.000397
99,73518.2,1.12245,0.74259,0.86084,0.62243,0.66042,0.68087,0.44538,1.22737,0.90092,0.88981,0.000298,0.000298,0.000298
100,74208.3,1.11708,0.73892,0.86035,0.62342,0.66065,0.68213,0.44669,1.22539,0.90007,0.88948,0.000199,0.000199,0.000199
