epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,7036.06,0.61779,0.48971,0.82323,0.74752,0.76951,0.81168,0.60255,0.9543,0.9044,1.00736,0.003664,0.003664,0.003664
66,7144.07,0.61571,0.48856,0.82273,0.73974,0.77524,0.80865,0.5992,0.95901,0.91179,1.01023,0.003565,0.003565,0.003565
67,7251.87,0.61105,0.48153,0.82247,0.72914,0.78829,0.81041,0.60075,0.95693,0.91177,1.01009,0.003466,0.003466,0.003466
68,7360.08,0.60996,0.47961,0.82192,0.73966,0.77851,0.81178,0.60188,0.95721,0.9083,1.01084,0.003367,0.003367,0.003367
69,7468.2,0.60653,0.47675,0.82108,0.73581,0.78218,0.81047,0.59983,0.96035,0.91299,1.01224,0.003268,0.003268,0.003268
70,7576.09,0.602,0.47122,0.82075,0.73657,0.78101,0.80826,0.59735,0.96522,0.92069,1.01543,0.003169,0.003169,0.003169
71,7683.9,0.60082,0.46869,0.82018,0.73529,0.78279,0.80756,0.59786,0.96103,0.92286,1.01463,0.00307,0.00307,0.00307
72,7792.11,0.59691,0.46569,0.81899,0.73701,0.77876,0.80577,0.59731,0.95843,0.92932,1.01425,0.002971,0.002971,0.002971
73,7900.43,0.59463,0.4638,0.81903,0.7429,0.77331,0.80522,0.59784,0.95644,0.93278,1.01392,0.002872,0.002872,0.002872
74,8007.97,0.58999,0.45739,0.81845,0.7353,0.78266,0.80607,0.59923,0.95433,0.93411,1.01369,0.002773,0.002773,0.002773
75,8116.44,0.58714,0.45568,0.81782,0.7468,0.76894,0.80549,0.59839,0.95693,0.9383,1.01547,0.002674,0.002674,0.002674
76,8223.76,0.58529,0.45212,0.81739,0.74551,0.77263,0.80512,0.5985,0.95497,0.94083,1.01457,0.002575,0.002575,0.002575
77,8331.22,0.58182,0.448,0.81668,0.73712,0.78187,0.80456,0.59956,0.94979,0.9438,1.012,0.002476,0.002476,0.002476
78,8439.25,0.57914,0.44489,0.81644,0.73931,0.78045,0.80461,0.6005,0.94638,0.94327,1.01109,0.002377,0.002377,0.002377
79,8546.9,0.57873,0.44469,0.81568,0.74163,0.77746,0.80389,0.60016,0.94453,0.9456,1.0108,0.002278,0.002278,0.002278
80,8654.08,0.57194,0.43987,0.81503,0.73744,0.78203,0.80341,0.59928,0.94581,0.94728,1.0119,0.002179,0.002179,0.002179
81,8762.42,0.57007,0.43655,0.81519,0.74171,0.77643,0.80356,0.59971,0.9449,0.94754,1.0118,0.00208,0.00208,0.00208
82,8870.35,0.56716,0.43313,0.81452,0.7422,0.7777,0.80393,0.60013,0.94348,0.94663,1.01161,0.001981,0.001981,0.001981
83,8978,0.56294,0.42875,0.81374,0.73675,0.78507,0.80403,0.60023,0.94246,0.94675,1.01139,0.001882,0.001882,0.001882
84,9085.36,0.56404,0.42802,0.81349,0.73507,0.78698,0.80418,0.60024,0.9421,0.94763,1.01159,0.001783,0.001783,0.001783
85,9193.04,0.55887,0.42533,0.81269,0.74407,0.77722,0.80364,0.5998,0.94223,0.9501,1.01207,0.001684,0.001684,0.001684
86,9300.25,0.55518,0.42012,0.81256,0.74647,0.77581,0.80382,0.59973,0.94286,0.94995,1.01237,0.001585,0.001585,0.001585
87,9407.48,0.55373,0.41857,0.81193,0.74446,0.77844,0.80296,0.59914,0.94326,0.95243,1.01264,0.001486,0.001486,0.001486
88,9515.19,0.55258,0.41762,0.81169,0.74447,0.77772,0.8028,0.59881,0.94331,0.95424,1.01285,0.001387,0.001387,0.001387
89,9622.77,0.55052,0.41585,0.81168,0.7452,0.77734,0.80244,0.59885,0.94285,0.95487,1.01268,0.001288,0.001288,0.001288
90,9730.7,0.54777,0.41228,0.81065,0.74829,0.77576,0.80254,0.59851,0.94391,0.95481,1.01316,0.001189,0.001189,0.001189
91,9834.55,0.51245,0.37751,0.80512,0.7458,0.77875,0.80231,0.59838,0.94473,0.95591,1.01393,0.00109,0.00109,0.00109
92,9935.2,0.49674,0.35706,0.80209,0.74677,0.77624,0.80206,0.598,0.94583,0.95875,1.01477,0.000991,0.000991,0.000991
93,10035.3,0.4914,0.35163,0.80157,0.74803,0.7754,0.8024,0.59842,0.94677,0.95885,1.01558,0.000892,0.000892,0.000892
94,10135.8,0.48754,0.34784,0.80077,0.74922,0.77416,0.80216,0.5984,0.94689,0.96005,1.01594,0.000793,0.000793,0.000793
95,10236.4,0.48466,0.34475,0.80067,0.74666,0.77722,0.80176,0.59826,0.94683,0.96259,1.01624,0.000694,0.000694,0.000694
96,10337.3,0.48032,0.34076,0.7993,0.74516,0.77875,0.80126,0.59819,0.94708,0.96433,1.01668,0.000595,0.000595,0.000595
97,10437.7,0.47687,0.33666,0.79878,0.74591,0.77808,0.80056,0.59761,0.94741,0.96727,1.01726,0.000496,0.000496,0.000496
98,10538.3,0.47427,0.33552,0.79835,0.74438,0.77912,0.79983,0.59735,0.94756,0.97022,1.01764,0.000397,0.000397,0.000397
99,10640.4,0.47186,0.33162,0.79793,0.74693,0.77687,0.79936,0.59692,0.94855,0.97304,1.01835,0.000298,0.000298,0.000298
100,10740.9,0.47045,0.32854,0.79754,0.74782,0.77594,0.79892,0.59691,0.9481,0.97476,1.01849,0.000199,0.000199,0.000199
